Date,Fish_ID_on_photo,Species_Seq,Photo_Name,Species,Died_0_Lived_1,Individual_IDs,Length_mm,Weight_g,Number_of_Parasites,Starting_DO_ ppm,DO_30min_ppm,Respiration_Rate_ppm_per_min,Experimental_Treatment_C,Bucket,Notes,Length_Measurement_Notes
20150710,20,,DSC_0057 (2),Copper,1,4,36.7,0.47,0,,,,11,3,,
20150710,21,,DSC_0060 (2),Copper,1,3,31,0.29,0,,,,11,3,,
20150714,15,Copper,DSC_0177 (3),Copper,1,2,35.8,0.52,0,8.82,8.7,,11,3,,
20150714,16,,DSC_0182 (3),Copper,1,4,33.9,0.44,0,8.93,8.75,,11,3,,
20150714,17,,DSC_0184 (3),Copper,1,3,29.6,0.26,0,9.15,8.92,,11,3,dropped during processing,
20150714,18,Quillback,DSC_0186 (3),Copper,,1,29.8,0.24,3,9.13,9.03,,11,3,dropped during processing (not bad),
20150714,15-121,Quillback,IMG_4312,Copper,,1,30.9,0.23,3,,,,11,3,,
20150718,12,,DSC_0283 (3),Copper,1,3,30.4,0.24,0,,,,11,3,,15_142
20150718,13,Copper,DSC_0286 (3),Copper,1,2,38.2,0.54,0,,,,11,3,,
20150718,14,,DSC_0290 (3),Copper,1,4,35.8,0.42,0,,,,11,3,,15_144
20150620,3,Black,DSC_0699,Black,,1,43.9,0.87,0,,,,11,4,,"Possible Yellowtail, see DSC_0696 for number ""3"""
20150620,4,,DSC_0714,Black,,2,43.2,0.7,0,,,,11,4,,Possible Yellowtail
20150626,34,Black,DSC_0299 (2),Black,,1,44.1,0.85,0,,,,11,4,,
20150626,35,,DSC_0303 (2),Black,,2,41.2,0.7,0,,,,11,4,,Possible Yellowtail
20150630,32,Black,DSC_0453 (2),Black,,1,45.1,0.81,0,8.83,8.11,,11,4,,Possible Yellowtail
20150630,33,,DSC_0457 (2),Black,,2,44.3,0.68,0,8.9,8.46,,11,4,,Possible Yellowtail
20150703,15-055,Black,DSC_0590 (2),Black,,1,43.5,0.84,0,,,,11,4,,"Possible Yellowtail, silvery"
20150703,15-056,,DSC_0594 (2),Black,,2,41.5,0.68,0,,,,11,4,,
20150704,5,Copper,DSC_0624 (2),Copper,1,4,32,0.32,1,,,,11,4,,
20150704,6,Copper,DSC_0627 (2),Copper,1,1,24,0.12,0,,,,11,4,,
20150704,7,Copper,DSC_0629 (2),Copper,,2,36.8,0.53,0,,,,11,4,,
20150704,8,,DSC_0634 (2),Copper,1,3,29.4,0.24,0,,,,11,4,,
20150710,46,Copper,DSC_0122 (2),Copper,1,1,24.3,0.13,0,,,,11,4,,
20150710,47,Copper,DSC_0124 (2),Copper,1,4,32.4,0.31,0,,,,11,4,,
